Cliente [cód];Venda anual;Últim venda;Família
ACODUTO COMERCIO IMPORTACAO E EXPORTACAO LTDA [60649];1235;28/09/2022 00:00;IATD
ACOLOG SERVICOS DE TRANSPORTES E LOGISTICA LTDA [45464];71.35;19/10/2015 00:00;IATD
ACOS SUL FORT COMERCIO DE FERROS E ACOS LTDA [64220];29.482.799.999.999.900;10/03/2025 00:00;REFL
ACOVISA IND E COM DE ACOS ESPECIAIS LTDA [59957];83.21;01/11/2022 00:00;PSeI
ACQUA LIVE SUL LTDA - ME [36726];468;27/09/2017 00:00;_OUT
ACQUA LIVE SUL LTDA - ME [36726];988.14;11/09/2015 00:00;PSeI
ACR DE SOUZA [44315];347.44;12/08/2015 00:00;IATD
ACR FABRICACAO DE EMBALAGENS DE PAPEL LTDA [41457];66;20/07/2017 00:00;_OUT
ACRILAIS COMUNICACAO VISUAL LTDA [60384];167;11/04/2025 00:00;_ASD
ACRILAIS COMUNICACAO VISUAL LTDA [60384];190;23/10/2024 00:00;_OUT
ACRILAIS COMUNICACAO VISUAL LTDA [60384];69.31;18/12/2024 00:00;ELET
ACRILAIS COMUNICACAO VISUAL LTDA [60384];11.186.150.000.000.000;20/08/2025 00:00;IATD
ACRILAIS COMUNICACAO VISUAL LTDA [60384];36;23/10/2024 00:00;PSeI
ACRILDOMOS ARTEF EM ACRILICO LTDA [27755];576.9;09/06/2016 00:00;_OUT
ACRILDOMOS ARTEF EM ACRILICO LTDA [27755];10.044.799.999.999.900;31/10/2016 00:00;ELET
